state,district,age_0_5,age_5_17,age_18_greater,total_enrolments,child_0_5_share,child_5_17_share,total_demo_updates,total_bio_updates,updates_per_1000,voluntary_share,mandatory_share,voluntary_dominance_ratio,age_transition_stress,child_exclusion_risk,migration_pressure,service_centralization,exclusion_risk_index,fraud_risk_proxy,net_correction_benefit,policy_recommendation
Andaman & Nicobar Islands,Andamans,70,5,0,75,0.933333333,0.066666667,750,2015,36866.66667,0.271149675,0.728850325,0.37202381,0.070422535,2596.244131,9868.421053,485.0877193,0.227102804,0.842990654,-0.61588785,Stricter Enforcement
Andaman & Nicobar Islands,Nicobars,1,0,0,1,1,0,4,2,6000,0.571428571,0.428571429,1.333333333,0,0,2000,3000,0.038785047,0.190186916,-0.151401869,Stricter Enforcement
Andaman & Nicobar Islands,South Andaman,38,0,0,38,1,0,305,367,17684.21053,0.453194651,0.546805349,0.828804348,0,0,7820.512821,453.4412955,0.038785047,0.398130841,-0.359345794,Stricter Enforcement
Andaman and Nicobar Islands,Nicobar,64,11,0,75,0.853333333,0.146666667,787,1811,34640,0.302808773,0.697191227,0.434326711,0.169230769,5862.153846,10355.26316,455.7894737,0.494392523,0.76635514,-0.271962617,Stricter Enforcement
Andaman and Nicobar Islands,North And Middle Andaman,128,4,0,132,0.96969697,0.03030303,2009,6383,63575.75758,0.239366138,0.760633862,0.314692982,0.031007752,1971.34132,15105.26316,478.0132149,0.171028037,0.898130841,-0.727102804,Stricter Enforcement
Andaman and Nicobar Islands,South Andaman,178,12,0,190,0.936842105,0.063157895,3391,10120,71110.52632,0.250962108,0.749037892,0.335045944,0.067039106,4767.186122,17753.9267,372.3064205,0.418691589,0.876635514,-0.457943925,Stricter Enforcement
Andhra Pradesh,Adilabad,1137,281,1,1419,0.801268499,0.198026779,29291,52038,57314.30585,0.360150006,0.639849994,0.562866312,0.246924429,14152.30224,20627.46479,40.36218722,0.818691589,0.622429907,0.196261682,Proactive Correction
Andhra Pradesh,Alluri Sitharama Raju,1105,116,34,1255,0.880478088,0.092430279,12871,18607,25082.07171,0.408875758,0.591124242,0.691691745,0.104882459,2630.669366,10247.61146,19.96980232,0.230841121,0.500934579,-0.270093458,Stricter Enforcement
Andhra Pradesh,Anakapalli,523,12,8,543,0.963167587,0.022099448,13460,6723,37169.4291,0.666864843,0.333135157,2.001784652,0.022900763,851.2082999,24742.64706,68.32615643,0.1,0.112149533,-0.012149533,Stricter Enforcement
Andhra Pradesh,Anantapur,4089,326,0,4415,0.926160815,0.073839185,68745,93565,36763.30691,0.423538762,0.576461238,0.734722014,0.079706601,2930.278252,15567.25543,8.325024209,0.263551402,0.468224299,-0.204672897,Stricter Enforcement
Andhra Pradesh,Ananthapur,1843,151,0,1994,0.924272818,0.075727182,30026,84132,57250.75226,0.263019122,0.736980878,0.356887309,0.081887202,4688.1039,15050.62657,28.69711893,0.409345794,0.860747664,-0.451401869,Stricter Enforcement
Andhra Pradesh,Ananthapuramu,3018,159,10,3187,0.946972074,0.049890179,55944,109602,51944.1481,0.337934242,0.662065758,0.510423985,0.052666446,2735.713663,17548.30615,16.29364746,0.244859813,0.66635514,-0.421495327,Stricter Enforcement
